Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,569.775,286.828,0,187,0,0,NA,NA,NA,NA,NA
2,1,2,568.481,287.26,0,177.8,1.364,1.364,NA,1.364,NA,161.565,NA
3,1,3,565.462,287.26,0,164.9,4.383,4.335,NA,3.019,NA,180,18.435
4,1,4,563.736,284.672,0,175.9,7.493,6.412,NA,3.11,NA,-123.69,56.31
5,1,5,561.148,284.672,0,156,10.081,8.892,NA,2.588,NA,180,-56.31
6,1,6,559.854,285.103,0,155.1,11.445,10.069,NA,1.364,NA,161.565,-18.435
7,1,7,558.129,287.691,0,107.1,14.556,11.678,NA,3.11,NA,123.69,-37.875
8,1,8,556.404,288.554,0,134.1,16.485,13.482,NA,1.929,NA,153.435,29.745
9,1,9,554.678,288.554,0,146.4,18.21,15.194,NA,1.725,NA,180,26.565
10,1,10,550.797,292.004,0,177.8,23.404,19.671,NA,5.194,NA,138.366,-41.634
11,1,11,549.071,293.729,0,159.5,25.844,21.823,NA,2.44,NA,135,-3.366
12,1,12,545.189,295.023,0,173.5,29.935,25.915,NA,4.092,NA,161.565,26.565
13,2,1,620.239,293.729,0,163.2,0,0,NA,NA,NA,NA,NA
14,2,2,617.22,293.729,0,140.9,3.019,3.019,NA,3.019,NA,180,NA
15,2,3,613.338,293.729,0,89.8,6.901,6.901,NA,3.882,NA,180,0
16,2,4,612.044,293.298,0,118.6,8.265,8.206,NA,1.364,NA,-161.565,18.435
17,2,5,611.182,289.416,0,168.5,12.242,10.032,NA,3.977,NA,-102.529,59.036
18,2,6,609.888,289.416,0,153.5,13.536,11.214,NA,1.294,NA,180,-77.471
19,2,7,608.594,289.848,0,140.5,14.9,12.276,NA,1.364,NA,161.565,-18.435
20,2,8,608.594,291.142,0,143.3,16.194,11.93,NA,1.294,NA,90,-71.565
21,2,9,608.162,294.161,0,183.8,19.243,12.085,NA,3.05,NA,98.13,8.13
22,2,10,606.868,296.317,0,160.8,21.758,13.619,NA,2.515,NA,120.964,22.834
23,2,11,605.143,298.474,0,137.5,24.52,15.824,NA,2.762,NA,128.66,7.696
24,2,12,604.28,298.474,0,170.9,25.383,16.649,NA,0.863,NA,180,51.34
25,3,1,597.811,238.952,0,148.3,0,0,NA,NA,NA,NA,NA
26,3,2,597.379,238.089,0,23,0.964,0.964,NA,0.964,NA,-116.565,NA
27,3,3,596.085,235.07,0,94.8,4.249,4.248,NA,3.285,NA,-113.199,3.366
28,3,4,594.791,235.07,0,11.7,5.543,4.918,NA,1.294,NA,180,-66.801
29,3,5,594.36,235.07,0,15.9,5.975,5.194,NA,0.431,NA,180,0
30,3,6,592.635,236.795,0,10.2,8.415,5.607,NA,2.44,NA,135,-45
31,3,7,591.341,239.383,0,35.4,11.308,6.484,NA,2.893,NA,116.565,-18.435
32,3,8,588.753,241.971,0,46.3,14.968,9.548,NA,3.66,NA,135,18.435
33,3,9,585.734,245.853,0,11.6,19.886,13.91,NA,4.918,NA,127.875,-7.125
34,3,10,584.44,248.872,0,96.2,23.17,16.649,NA,3.285,NA,113.199,-14.676
35,3,11,581.852,252.754,0,96.4,27.836,21.099,NA,4.665,NA,123.69,10.491
